z_index  z  Dang[Mpc]  mass[Msun]  conc  r_trunc[Mpc]  r200[Mpc]  r200[deg]  ngal  mstar  alpha
60  0.62  1400.77  9.10349e+13  3.83555  2.21865  0.739552  0.0302499  20.7254  20.948  -1
61  0.63  1410.83  9.21301e+13  3.8255  2.21865  0.739552  0.0300343  20.9221  20.9967  -1
62  0.64  1420.65  9.32389e+13  3.81552  2.21865  0.739552  0.0298266  21.1208  21.0439  -1
63  0.65  1430.25  9.43612e+13  3.8056  2.21865  0.739552  0.0296265  21.3214  21.0897  -1
64  0.66  1439.62  9.54972e+13  3.79574  2.21865  0.739552  0.0294336  21.5239  21.1356  -1
65  0.67  1448.77  9.6647e+13  3.78595  2.21865  0.739552  0.0292476  21.7284  21.1812  -1
66  0.68  1457.71  9.78106e+13  3.77622  2.21865  0.739552  0.0290683  21.9348  21.2242  -1
67  0.69  1466.44  9.89881e+13  3.76655  2.21865  0.739552  0.0288952  22.1431  21.2688  -1
68  0.7  1474.97  1.0018e+14  3.75695  2.21865  0.739552  0.0287283  22.3535  21.3128  -1
69  0.71  1483.29  1.01385e+14  3.7474  2.21865  0.739552  0.0285671  22.5657  21.3562  -1
70  0.72  1491.41  1.02605e+14  3.73792  2.21865  0.739552  0.0284114  22.7799  21.3995  -1
71  0.73  1499.34  1.03839e+14  3.7285  2.21865  0.739552  0.0282611  22.9961  21.4411  -1
72  0.74  1507.09  1.05088e+14  3.71914  2.21865  0.739552  0.028116  23.2143  21.4852  -1
73  0.75  1514.64  1.06351e+14  3.70983  2.21865  0.739552  0.0279757  23.4344  21.5304  -1
74  0.76  1522.02  1.07628e+14  3.70059  2.21865  0.739552  0.0278401  23.6565  21.578  -1
75  0.77  1529.22  1.0892e+14  3.6914  2.21865  0.739552  0.0277091  23.8806  21.6277  -1
76  0.78  1536.24  1.10227e+14  3.68227  2.21865  0.739552  0.0275824  24.1066  21.6773  -1
77  0.79  1543.09  1.11548e+14  3.6732  2.21865  0.739552  0.0274599  24.3346  21.7258  -1
78  0.8  1549.78  1.12885e+14  3.66419  2.21865  0.739552  0.0273415  24.5647  21.7746  -1
79  0.81  1556.3  1.14236e+14  3.65523  2.21865  0.739552  0.0272269  24.7967  21.8229  -1
80  0.82  1562.66  1.15602e+14  3.64633  2.21865  0.739552  0.0271161  25.0307  21.8707  -1
81  0.83  1568.86  1.16984e+14  3.63748  2.21865  0.739552  0.0270088  25.2666  21.9188  -1
82  0.84  1574.91  1.1838e+14  3.62869  2.21865  0.739552  0.0269051  25.5046  21.9655  -1
83  0.85  1580.81  1.19792e+14  3.61995  2.21865  0.739552  0.0268047  25.7446  22.012  -1
84  0.86  1586.56  1.21219e+14  3.61127  2.21865  0.739552  0.0267076  25.9866  22.0595  -1
85  0.87  1592.16  1.22662e+14  3.60264  2.21865  0.739552  0.0266136  26.2306  22.108  -1
86  0.88  1597.63  1.2412e+14  3.59406  2.21865  0.739552  0.0265226  26.4767  22.1558  -1
87  0.89  1602.95  1.25594e+14  3.58554  2.21865  0.739552  0.0264345  26.7247  22.2013  -1
88  0.9  1608.14  1.27083e+14  3.57706  2.21865  0.739552  0.0263492  26.9748  22.2463  -1
89  0.91  1613.19  1.28588e+14  3.56864  2.21865  0.739552  0.0262667  27.2268  22.2913  -1
90  0.92  1618.11  1.30109e+14  3.56027  2.21865  0.739552  0.0261868  27.4809  22.3359  -1
91  0.93  1622.9  1.31646e+14  3.55195  2.21865  0.739552  0.0261095  27.7371  22.3789  -1
92  0.94  1627.57  1.33199e+14  3.54369  2.21865  0.739552  0.0260346  27.9952  22.4215  -1
93  0.95  1632.11  1.34768e+14  3.53547  2.21865  0.739552  0.0259622  28.2554  22.4626  -1
94  0.96  1636.54  1.36353e+14  3.5273  2.21865  0.739552  0.025892  28.5177  22.5023  -1
95  0.97  1640.84  1.37954e+14  3.51918  2.21865  0.739552  0.0258241  28.7819  22.5415  -1
96  0.98  1645.03  1.39572e+14  3.51111  2.21865  0.739552  0.0257584  29.0482  22.5803  -1
97  0.99  1649.1  1.41206e+14  3.50308  2.21865  0.739552  0.0256948  29.3166  22.6196  -1
98  1  1653.06  1.42857e+14  3.49511  2.21865  0.739552  0.0256332  29.587  22.6595  -1
99  1.01  1656.91  1.44524e+14  3.48718  2.21865  0.739552  0.0255736  29.8595  22.6998  -1
100  1.02  1660.65  1.46208e+14  3.4793  2.21865  0.739552  0.025516  30.134  22.741  -1
101  1.03  1664.29  1.47909e+14  3.47147  2.21865  0.739552  0.0254602  30.4106  22.7825  -1
102  1.04  1667.82  1.49627e+14  3.46368  2.21865  0.739552  0.0254063  30.6892  22.8248  -1
103  1.05  1671.26  1.51361e+14  3.45594  2.21865  0.739552  0.0253541  30.9699  22.8665  -1
104  1.06  1674.59  1.53113e+14  3.44824  2.21865  0.739552  0.0253036  31.2527  22.909  -1
105  1.07  1677.83  1.54881e+14  3.44059  2.21865  0.739552  0.0252548  31.5375  22.9514  -1
106  1.08  1680.97  1.56667e+14  3.43299  2.21865  0.739552  0.0252076  31.8244  22.9928  -1
107  1.09  1684.01  1.5847e+14  3.42542  2.21865  0.739552  0.025162  32.1134  23.0348  -1
108  1.1  1686.97  1.6029e+14  3.41791  2.21865  0.739552  0.0251179  32.4045  23.0763  -1
109  1.11  1689.83  1.62128e+14  3.41043  2.21865  0.739552  0.0250754  32.6977  23.1151  -1
110  1.12  1692.61  1.63983e+14  3.403  2.21865  0.739552  0.0250342  32.9929  23.1513  -1
111  1.13  1695.3  1.65856e+14  3.39561  2.21865  0.739552  0.0249945  33.2902  23.1842  -1
112  1.14  1697.9  1.67747e+14  3.38827  2.21865  0.739552  0.0249562  33.5896  23.2171  -1
113  1.15  1700.42  1.69655e+14  3.38097  2.21865  0.739552  0.0249192  33.8911  23.2485  -1
114  1.16  1702.86  1.71581e+14  3.37371  2.21865  0.739552  0.0248835  34.1947  23.2821  -1
115  1.17  1705.22  1.73525e+14  3.36649  2.21865  0.739552  0.0248491  34.5005  23.3157  -1
116  1.18  1707.5  1.75487e+14  3.35931  2.21865  0.739552  0.0248159  34.8083  23.3487  -1
117  1.19  1709.71  1.77467e+14  3.35217  2.21865  0.739552  0.0247839  35.1182  23.3803  -1
118  1.2  1711.83  1.79465e+14  3.34507  2.21865  0.739552  0.0247531  35.4302  23.4116  -1
119  1.21  1713.89  1.81482e+14  3.33802  2.21865  0.739552  0.0247234  35.7443  23.4426  -1
120  1.22  1715.87  1.83517e+14  3.331  2.21865  0.739552  0.0246949  36.0606  23.4753  -1
121  1.23  1717.78  1.8557e+14  3.32402  2.21865  0.739552  0.0246674  36.3789  23.5068  -1
122  1.24  1719.62  1.87642e+14  3.31709  2.21865  0.739552  0.024641  36.6994  23.5381  -1
123  1.25  1721.39  1.89732e+14  3.31019  2.21865  0.739552  0.0246157  37.022  23.5675  -1
124  1.26  1723.09  1.91841e+14  3.30333  2.21865  0.739552  0.0245914  37.3467  23.596  -1
125  1.27  1724.73  1.93969e+14  3.29651  2.21865  0.739552  0.024568  37.6736  23.623  -1
126  1.28  1726.3  1.96115e+14  3.28972  2.21865  0.739552  0.0245457  38.0026  23.651  -1
127  1.29  1727.81  1.98281e+14  3.28298  2.21865  0.739552  0.0245242  38.3337  23.6784  -1
128  1.3  1729.26  2.00465e+14  3.27627  2.21865  0.739552  0.0245037  38.6669  23.7059  -1
129  1.31  1730.64  2.02669e+14  3.26959  2.21865  0.739552  0.0244841  39.0023  23.7338  -1
130  1.32  1731.97  2.04892e+14  3.26296  2.21865  0.739552  0.0244654  39.3399  23.7613  -1
